planet_radius,planet_mass,orbital_period,semi_major_axis,equilibrium_temp,planet_density,star_temp,star_luminosity,star_metallicity,star_type,stellar_compatibility,orbital_stability,star_class_B,star_class_D,star_class_F,star_class_G,star_class_K,star_class_L,star_class_M,star_class_T,star_class_W,star_class_m,habitable,habitability_score
2.3,192.60498,14.465314,0.11339,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0028446695015467,0,0,0,1,0,0,0,0,0,0,0,1.5712114e-05
2.3,192.60498,14.65152,0.11522725,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0028461771059889,0,0,0,1,0,0,0,0,0,0,0,1.8516044e-05
2.3,192.60498,14.65162,0.115,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0028461779160615,0,0,0,1,0,0,0,0,0,0,0,1.5712114e-05
2.3,192.60498,14.651,0.1134,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0028461728936185,0,0,0,1,0,0,0,0,0,0,0,1.5712114e-05
2.3,192.60498,14.65126,0.1138,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0028461749998021,0,0,0,1,0,0,0,0,0,0,0,1.5712114e-05
2.3,192.60498,14.65171,0.1162,797.0,1.31,5317.89,-0.082525,0.3833,G0 V,0.552221183800623,0.0028461786451273,0,0,0,1,0,0,0,0,0,0,0,2.4601664e-05
2.3,192.60498,14.6516,0.1134,797.0,1.31,5172.0,-0.082525,0.35,G0 V,0.5370716510903426,0.0028461777540469,0,0,0,1,0,0,0,0,0,0,0,1.8784323e-05
2.3,192.60498,14.6,0.113,797.0,1.31,5612.5,-0.082525,-0.002,K0 IV-V,0.5828141225337488,0.0028457598178713,0,0,0,0,1,0,0,0,0,0,0,1.7737231e-05
2.3,192.60498,14.651552,0.118,797.0,1.31,5198.0,-0.082525,0.39,G8 V,0.5397715472481828,0.002846177365212,0,0,0,1,0,0,0,0,0,0,0,1.7328768e-05
2.3,192.60498,14.648,0.11,797.0,1.31,5200.0,-0.082525,0.23,G8 V,0.5399792315680166,0.0028461485917256,0,0,0,1,0,0,0,0,0,0,0,1.8026687e-05
2.3,192.60498,14.647,0.115,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0028461404911869,0,0,0,1,0,0,0,0,0,0,0,1.8516044e-05
2.3,192.60498,14.67,0.115,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0028463268152449,0,0,0,1,0,0,0,0,0,0,0,1.8516044e-05
2.3,192.60498,43.93,0.24,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0031049150805725,0,0,0,1,0,0,0,0,0,0,0,3.9452705e-05
2.3,192.60498,44.3936,0.247,797.0,1.31,5198.0,-0.082525,0.39,G8 V,0.5397715472481828,0.0031093908578933,0,0,0,1,0,0,0,0,0,0,0,4.8018177e-05
2.3,192.60498,44.3827,0.2432,797.0,1.31,5317.89,-0.082525,0.3833,G0 V,0.552221183800623,0.0031092854768695,0,0,0,1,0,0,0,0,0,0,0,5.8743048e-05
2.3,192.60498,44.3446,0.24,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0031089171827987,0,0,0,1,0,0,0,0,0,0,0,5.6221787e-05
2.3,192.60498,44.3787,0.238,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0031092468067257,0,0,0,1,0,0,0,0,0,0,0,5.481327e-05
2.3,192.60498,44.38,0.237,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.003109259374417,0,0,0,1,0,0,0,0,0,0,0,5.481327e-05
2.3,192.60498,44.3989,0.2373,797.0,1.31,5172.0,-0.082525,0.35,G0 V,0.5370716510903426,0.0031094421007888,0,0,0,1,0,0,0,0,0,0,0,5.01476e-05
2.3,192.60498,44.4175,0.241376,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0031096219477117,0,0,0,1,0,0,0,0,0,0,0,3.8464324e-05
2.3,192.60498,44.373,0.23735,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0031091917034328,0,0,0,1,0,0,0,0,0,0,0,5.481327e-05
2.3,192.60498,5360.0,5.9,797.0,1.31,5612.5,-0.082525,0.27,G8 V,0.5828141225337488,0.0002001601281024,0,0,0,1,0,0,0,0,0,0,0,1.593115e-05
2.3,192.60498,5370.0,5.84,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0001997602876548,0,0,0,1,0,0,0,0,0,0,0,2.0040206e-05
2.3,192.60498,4517.4,5.257,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0002407666008571,0,0,0,1,0,0,0,0,0,0,0,1.5349027e-05
2.3,192.60498,5218.0,5.77,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0002060156571899,0,0,0,1,0,0,0,0,0,0,0,2.0040206e-05
2.3,192.60498,4545.0,5.28,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0002391772303276,0,0,0,1,0,0,0,0,0,0,0,1.5349027e-05
2.3,192.60498,4909.0,5.47,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0002200220022002,0,0,0,1,0,0,0,0,0,0,0,2.0040206e-05
2.3,192.60498,4867.0,5.446,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0002220741727737,0,0,0,1,0,0,0,0,0,0,0,2.0040206e-05
2.3,192.60498,4825.0,5.503,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0002241649854292,0,0,0,1,0,0,0,0,0,0,0,1.5349027e-05
2.3,192.60498,4799.0,5.6,797.0,1.31,5198.0,-0.082525,0.39,G8 V,0.5397715472481828,0.0002254791431792,0,0,0,1,0,0,0,0,0,0,0,1.5954838e-05
2.3,192.60498,5574.2,5.957,797.0,1.31,5172.0,-0.082525,0.35,G0 V,0.5370716510903426,0.0001919312118536,0,0,0,1,0,0,0,0,0,0,0,1.6662398e-05
2.3,192.60498,4820.0,5.54,797.0,1.31,5317.89,-0.082525,0.3833,G0 V,0.552221183800623,0.0002244165170556,0,0,0,1,0,0,0,0,0,0,0,2.0545705e-05
2.3,192.60498,2.79674,0.0377,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0027532792519538,0,0,0,1,0,0,0,0,0,0,0,1.5366324e-05
2.3,192.60498,2.808,0.038,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0027533646115553,0,0,0,1,0,0,0,0,0,0,0,2.5868147e-05
2.02311213,192.60498,0.73654625026,0.1008,797.0,1.31,5250.0,-0.082525,-0.002,G0 V,0.5451713395638629,0.0027377499438669,0,0,0,1,0,0,0,0,0,0,0,1.9523279e-05
1.91,192.60498,0.736539,0.01544,797.0,6.4,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0027377498895242,0,0,0,1,0,0,0,0,0,0,0,1.1713069e-05
1.947,192.60498,0.7365474,0.1008,797.0,6.421,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0027377499524845,0,0,0,1,0,0,0,0,0,0,0,2.0920237e-05
1.875,192.60498,0.7365474,0.01544,797.0,6.66,5172.0,-0.082525,0.35,G0 V,0.5370716510903426,0.0027377499524845,0,0,0,1,0,0,0,0,0,0,0,1.1532489e-05
2.3,192.60498,0.73654625,0.1008,797.0,1.31,5234.0,-0.082525,0.31,G0 V,0.543509865005192,0.002737749943865,0,0,0,1,0,0,0,0,0,0,0,2.263746e-05
1.856,192.60498,0.736543,0.1008,797.0,1.31,5272.0,-0.082525,0.37,G0 V,0.5474558670820353,0.0027377499195053,0,0,0,1,0,0,0,0,0,0,0,2.5441886e-05
2.3,192.60498,0.7365478,0.015439,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0027377499554826,0,0,0,1,0,0,0,0,0,0,0,1.4549527e-05
2.3,192.60498,0.736546,0.016,797.0,1.31,5198.0,-0.082525,0.39,G8 V,0.5397715472481828,0.0027377499419911,0,0,0,1,0,0,0,0,0,0,0,1.9116735e-05
2.3,192.60498,0.7365417,0.1008,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0027377499097615,0,0,0,1,0,0,0,0,0,0,0,2.4561532e-05
2.173,192.60498,0.736546,0.01583,797.0,4.5,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0027377499419911,0,0,0,1,0,0,0,0,0,0,0,1.1713069e-05
2.3,192.60498,0.7365445,0.01583,797.0,1.31,5317.89,-0.082525,0.3833,G0 V,0.552221183800623,0.0027377499307482,0,0,0,1,0,0,0,0,0,0,0,2.6914804e-05
2.3,192.60498,0.73654604,0.1008,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0027377499422909,0,0,0,1,0,0,0,0,0,0,0,2.4561532e-05
2.08,192.60498,0.7365437,0.01544,797.0,4.78,5234.0,-0.082525,0.31,G0 V,0.543509865005192,0.002737749924752,0,0,0,1,0,0,0,0,0,0,0,1.4783593e-05
1.897,192.60498,0.737,0.1008,797.0,6.25,5172.0,-0.082525,0.35,G0 V,0.5370716510903426,0.0027377533448501,0,0,0,1,0,0,0,0,0,0,0,1.618062e-05
2.3,192.60498,10.3392924,0.1008,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0028116684768132,0,0,0,1,0,0,0,0,0,0,0,1.4205094e-05
1.92,192.60498,10.3392924,0.01544,797.0,6.3,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0028116684768132,0,0,0,1,0,0,0,0,0,0,0,1.4345258e-05
2.3,192.60498,0.7365515,0.015690907,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0027377499832151,0,0,0,1,0,0,0,0,0,0,0,3.3341264e-05
2.0,192.60498,0.73654,0.01583,797.0,5.9,5612.5,-0.082525,-0.002,G8 V,0.5828141225337488,0.0027377498970195,0,0,0,1,0,0,0,0,0,0,0,2.6680334e-05
2.3,192.60498,259.88,0.7708,797.0,1.31,5172.0,-0.082525,0.35,G0 V,0.5370716510903426,0.0094232943837165,0,0,0,1,0,0,0,0,0,0,0,5.11633e-05
2.3,192.60498,260.0,0.781,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0094339622641509,0,0,0,1,0,0,0,0,0,0,0,6.2077605e-05
2.3,192.60498,260.7,0.775,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0094966761633428,0,0,0,1,0,0,0,0,0,0,0,0.0002530222
2.3,192.60498,262.0,0.788,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0096153846153846,0,0,0,1,0,0,0,0,0,0,0,0.00013722478
2.3,192.60498,261.2,0.77,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.5451713395638629,0.0095419847328244,0,0,0,1,0,0,0,0,0,0,0,0.0002530222
2.3,192.60498,260.58,0.802,797.0,1.31,5198.0,-0.082525,0.39,G8 V,0.5397715472481828,0.0094858660595712,0,0,0,1,0,0,0,0,0,0,0,0.00021134221
