pl_rade,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,habitability_score,stellar_compatibility,orbital_stability,star_F,star_G,star_K,target
2.37,38.0957,0.2151,288.0,1.3275000000000001,5585.57,-0.08333499999999999,0.0275,0.41756377312439746,0.4641226659197144,0.28165257339108996,False,True,False,0
2.37,61.03944540249999,0.476,288.0,1.3275000000000001,5577.0,-0.08333499999999999,-0.01,0.44154189875073296,0.4640129990051348,0.32972354580609387,False,True,False,0
2.37,61.03944540249999,1.758,288.0,1.3275000000000001,4826.0,-0.08333499999999999,0.21,0.41970695746992887,0.46206241045205076,0.2860536632444857,False,False,True,0
2.37,61.03944540249999,1.93,288.0,1.3275000000000001,4794.52,-0.08333499999999999,0.0882,0.4070335827565535,0.4620456338142032,0.2607069138177349,False,False,True,0
2.37,10.39990194,1.8,288.0,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.4163887928889657,0.4642069806070106,0.27918385163075976,False,True,False,0
2.37,61.03944540249999,1.9,288.0,1.3275000000000001,4792.0,-0.08333499999999999,0.21,0.4090788513684978,0.4620443370933509,0.2647974510416236,False,False,True,0
2.37,10.39990194,2.205,288.0,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.390878588807333,0.4642069806070106,0.22816344346749445,False,True,False,0
2.37,61.03944540249999,2.153,288.0,1.3275000000000001,4826.0,-0.08333499999999999,0.21,0.39361694998242697,0.46206241045205076,0.23387364826948193,False,False,True,0
2.37,61.03944540249999,0.481,288.0,1.3275000000000001,5439.0,-0.08333499999999999,-0.09,0.4420818658170616,0.46300833971567645,0.3308034799387512,False,True,False,0
2.37,61.03944540249999,0.4765,288.0,1.3275000000000001,5481.86,-0.08333499999999999,-0.0402,0.44159573596594487,0.46322045996796396,0.3298312202365176,False,True,False,0
2.37,61.03944540249999,0.481,288.0,1.3275000000000001,5495.0,-0.08333499999999999,0.0168,0.4420818658170616,0.46329831486066403,0.3308034799387512,False,True,False,0
2.37,61.03944540249999,0.456,288.0,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.43941700244567267,0.4642069806070106,0.3254737531959732,False,True,False,0
2.37,61.03944540249999,0.48,288.0,1.3275000000000001,5531.0,-0.08333499999999999,-0.06,0.4419735882106031,0.4635538805126404,0.3305869247258342,False,True,False,0
2.37,61.03944540249999,0.484,288.0,1.3275000000000001,5545.0,-0.08333499999999999,-0.012,0.44240755571511636,0.46367450361713447,0.33145485973486066,False,True,False,0
2.37,61.03944540249999,2.1,288.0,1.3275000000000001,4846.0,-0.08333499999999999,0.0,0.39654752304769586,0.46207365716098253,0.2397347944000196,False,False,True,0
2.37,61.03944540249999,1.912,288.0,1.3275000000000001,4809.0,-0.08333499999999999,0.1,0.4082530420753906,0.4620532153979081,0.2631458324554091,False,False,True,0
2.37,61.03944540249999,2.36725,288.0,1.3275000000000001,4809.0,-0.08333499999999999,0.1,0.3831076767321499,0.4620532153979081,0.2128551017689277,False,False,True,0
2.37,61.03944540249999,0.462,288.0,1.3275000000000001,4847.0,-0.08333499999999999,-0.03,0.4400486686294656,0.4620742321670776,0.3267370855635591,False,False,True,0
2.37,61.03944540249999,0.49,288.0,1.3275000000000001,4847.4,-0.08333499999999999,-0.03,0.4430628179073616,0.4620744625151612,0.3327653841193511,False,False,True,0
2.37,61.03944540249999,0.49,288.0,1.3275000000000001,4847.0,-0.08333499999999999,-0.03,0.4430628179073616,0.4620742321670776,0.3327653841193511,False,False,True,0
2.37,61.03944540249999,2.104,288.0,1.3275000000000001,4734.0,-0.08333499999999999,-0.11,0.3963211967757422,0.46201622037990386,0.2392821418561123,False,False,True,0
2.37,61.03944540249999,2.36725,288.0,1.3275000000000001,4785.0,-0.08333499999999999,-0.06,0.3831076767321499,0.46204076958903423,0.2128551017689277,False,False,True,0
2.37,61.03944540249999,0.7,288.0,1.3275000000000001,4665.0,-0.08333499999999999,-0.03,0.4698075963077691,0.46198658451449365,0.3862549409201661,False,False,True,0
2.37,10.39990194,2.36725,288.0,1.3275000000000001,7132.5,-0.08333499999999999,0.0168,0.3831076767321499,0.4619066190569224,0.21262161931712817,True,False,False,0
