planet_radius,planet_mass,orbital_period,semi_major_axis,equilibrium_temp,planet_density,star_temp,star_luminosity,star_metallicity,star_type,habitability_score,stellar_compatibility,orbital_stability,star_class_B,star_class_D,star_class_F,star_class_G,star_class_K,star_class_L,star_class_M,star_class_T,star_class_W,star_class_m,habitable
2.3,192.60498,19000.0,13.8,797.0,1.31,5829.16,-0.082525,0.0256,G0 V,0.021739130434782608,0.5946874350986501,5.365958360163125e-05,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,14002.0,11.6,797.0,1.31,5872.0,0.1978,0.04,G0 V,0.02586206896551724,0.6693588369678088,7.332453438920662e-05,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,10.3392924,13.2,797.0,1.31,5612.5,0.85,-0.027,F0 IV,0.022727272727272728,0.9228141225337487,0.0028116684768132085,0,0,1,0,0,0,0,0,0,0,0
2.3,192.60498,9100.0,10.4,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.02884615384615384,0.5828141225337488,0.00011446886446886447,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,11688.0,12.0,797.0,1.31,7295.0,0.75157,-0.002,G0 V,0.024999999999999998,0.7430994434060227,8.830801836806782e-05,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,14965.0,14.0,797.0,1.31,7295.0,0.75157,-0.002,G0 V,0.021428571428571425,0.7430994434060227,6.848845969454146e-05,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,4.2293,0.1008,797.0,1.31,5773.0,-0.082525,0.2,G0 V,0.15796124684077503,0.5994807892004154,0.0027641818422553294,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,4.230785,0.0527,797.0,1.31,5758.0,0.13631,0.18,G0 V,0.15405946695424436,0.6524471568016615,0.0027641931887432713,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,4.231,0.052,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.1540041067761807,0.5828141225337488,0.002764194831508504,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,4.23077,0.052,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.1540041067761807,0.5828141225337488,0.002764193074131816,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,4.2307969,0.05235,797.0,1.31,5760.76,-0.082525,0.2058,G0 V,0.15403178189099684,0.5982097611630321,0.002764193279668365,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,6.7994,0.044,797.0,1.31,3286.0,-0.082525,0.16,M4.5 V,0.15337423312883436,0.34122533748701966,0.00278395971498934,0,0,0,0,0,0,1,0,0,0,0
2.3,192.60498,33.747,0.13,797.0,1.31,3286.0,-0.082525,0.16,M4.5 V,0.160427807486631,0.34122533748701966,0.0030097546147062632,0,0,0,0,0,0,1,0,0,0,0
2.3,192.60498,14.653,0.115,797.0,1.31,5612.5,-0.082525,0.27,G8 V,0.15915119363395228,0.5828141225337488,0.002846189095111101,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,14.465314,0.11339,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.15901537678693528,0.5451713395638629,0.002844669501546712,0,0,0,1,0,0,0,0,0,0,0
