pl_rade,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,habitability_score,stellar_compatibility,orbital_stability,star_F,star_G,star_K,target,habitability_rank
1.745,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,104
1.374,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,105
2.37,10.39990194,2.36725,1315.5,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.2126216193171281,False,False,True,0,106
1.738,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,107
2.37,10.39990194,2.36725,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.2126216193171281,False,False,True,0,108
2.713,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,0,109
3.770000000000001,10.39990194,2.36725,450.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.2126216193171281,False,False,True,0,110
0.9699999999999998,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,111
2.37,10.39990194,2.36725,1315.5,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.2126216193171281,False,False,True,0,112
0.987,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,113
1.501,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,114
1.045,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,115
0.9699999999999998,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,116
1.394,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,117
3.770000000000001,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,0,118
1.726,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,119
0.9699999999999998,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,120
3.770000000000001,10.39990194,2.36725,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.2126216193171281,False,False,True,0,121
2.37,10.39990194,2.36725,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.2126216193171281,False,False,True,0,122
3.770000000000001,10.39990194,1.0,1315.5,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,0,123
2.37,10.39990194,2.36725,1150.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.2126216193171281,False,False,True,0,124
