pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum
"Kepler-228 c",3.02000000,,4.13443005000,1160.00,,6046.00,0.972000,1.053000,
"Kepler-228 c",3.02000000,,4.13443005000,1160.00,,6046.00,0.972000,1.053000,
"Kepler-228 c",2.77000000,,4.13443512000,1160.00,,6046.00,0.972000,1.053000,
"Kepler-228 c",3.42300000,,4.13443005000,,,5660.00,1.104000,1.006000,
"Kepler-228 c",,,4.13447858770,,,5675.00,1.175700,1.010000,0.11115
"Kepler-228 c",3.26800000,,,,,5660.00,1.145000,,
"Kepler-20 c",3.03000000,,10.85409783500,765.00,,5465.00,0.925000,0.876000,
"Kepler-20 c",,,10.85410020000,,,5489.00,0.914982,0.960000,-0.16451
"Kepler-20 c",3.04000000,,10.85409783500,,,5569.00,0.930000,0.950000,
"Kepler-20 c",2.89400000,11.10000000,10.85407740000,828.00,2.510000,5495.00,0.916400,0.929000,
"Kepler-20 c",3.17000000,,10.85408940000,763.00,,5443.00,0.939000,0.901000,
"Kepler-20 c",3.07000000,16.10000000,10.85409200000,713.00,2.910000,5455.00,0.944000,0.912000,-0.14874
"Kepler-20 c",2.99000000,,10.85409593400,765.00,,5465.00,0.925000,0.876000,
"Kepler-20 c",2.88000000,13.55003079,10.85409784000,,3.125463,,,0.942000,
"Kepler-20 c",2.86800000,,,,,5508.00,0.887000,,
"Kepler-20 c",,,10.85407744350,,,5489.00,0.914982,0.960000,-0.16451
"Kepler-20 c",,,10.85409593400,,,5489.00,0.914982,0.960000,-0.16451
"Kepler-20 c",3.03000000,,10.85409783500,765.00,,5465.00,0.925000,0.876000,
"Kepler-20 c",2.88000000,,10.85409783500,,,5508.00,0.880000,0.942000,
"Kepler-20 c",3.04700000,12.75000000,10.85409089000,772.00,2.500000,5495.00,0.963900,0.948000,
"Kepler-20 c",3.03000000,,10.85409783500,765.00,,5465.00,0.925000,0.876000,
"Kepler-166 d",,,1.55400389000,,,5230.00,0.781826,0.890000,-0.38508
"Kepler-166 d",,,1.55399805910,,,5230.00,0.781826,0.890000,-0.38508
"Kepler-166 d",,,1.55400192000,,,5230.00,0.781826,0.890000,-0.38508
"Kepler-166 d",1.59000000,,1.55400389000,1313.00,,5409.00,0.746000,0.835000,
"Kepler-166 d",1.66700000,,,,,5175.00,0.782000,,
"Kepler-166 d",1.70000000,,1.55400100000,1336.00,,5432.00,0.780000,0.879000,
"Kepler-166 d",1.58000000,,1.55400392800,1326.00,,5413.00,0.759000,0.819000,
"Kepler-166 d",1.58000000,,1.55400392800,1326.00,,5413.00,0.759000,0.819000,
"Kepler-166 d",1.73000000,,1.55400392800,,,5350.00,0.830000,0.880000,
"Kepler-166 d",1.58000000,,1.55400392800,1326.00,,5413.00,0.759000,0.819000,
"Kepler-166 d",1.60200000,,1.55400392800,,,5175.00,0.771000,0.811000,
"Kepler-52 b",2.21000000,,7.87735600000,541.00,,4222.00,0.548000,0.577000,
"Kepler-52 b",2.52000000,79.60000000,7.87700000000,,,,0.623000,0.660000,
"Kepler-52 b",2.70000000,,7.87740709000,,,4242.00,0.630000,0.660000,
"Kepler-52 b",2.33000000,,7.87740709000,500.00,,3898.00,0.540000,0.560000,
"Kepler-52 b",1.93000000,,7.87761021000,499.00,,3898.00,0.540000,0.560000,
"Kepler-52 b",2.29000000,,7.88000000000,,,,,,
"Kepler-52 b",2.16000000,,7.87741630000,553.00,,4126.00,0.615000,0.633000,
"Kepler-52 b",,,7.87741630000,,,4116.00,0.675624,0.640000,-0.92799
"Kepler-52 b",2.40000000,,7.88000000000,,,4163.90,0.630000,0.624000,
"Kepler-52 b",2.17600000,,,,,4127.00,0.621000,,
"Kepler-52 b",2.10000000,135.00000000,7.87735650000,,,4075.00,0.520000,0.540000,
"Kepler-52 b",,,7.87742645000,,,4116.00,0.675624,0.640000,-0.92799
