pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum
Kepler-184 d,2.55,189.74451,29.02235217,559.0,1.31,5788.0,0.848,0.877,-0.08288
Kepler-184 d,2.3,189.74451,29.023,797.0,1.31,5613.0,0.86,0.87,-0.08288
Kepler-184 d,2.3,189.74451,29.02235217,797.0,1.31,5437.21,0.869668,0.95,-0.22509
Kepler-184 d,2.3,189.74451,29.02231937,797.0,1.31,5437.21,0.869668,0.95,-0.22509
Kepler-184 d,2.3,189.74451,29.0225230457,797.0,1.31,5437.21,0.869668,0.95,-0.22509
Kepler-184 d,2.53,189.74451,29.02235261,563.0,1.31,5783.0,0.86,0.869,-0.08288
Kepler-257 d,5.34,189.74451,24.66461416,567.0,1.31,5188.0,0.973,0.868,-0.08288
Kepler-257 d,4.95,189.74451,24.664551,797.0,1.31,5180.0,1.037,0.959,-0.08288
Kepler-257 d,4.664,189.74451,24.66459711,797.0,1.31,5118.0,0.801,0.916,-0.08288
Kepler-257 d,5.67,189.74451,24.66459711,568.0,1.31,5188.0,0.973,0.868,-0.08288
Kepler-257 d,5.67,189.74451,24.66459711,568.0,1.31,5188.0,0.973,0.868,-0.08288
Kepler-257 d,2.3,189.74451,24.66454505,797.0,1.31,4972.0,0.87259,0.82,-0.37756
Kepler-257 d,4.2,189.74451,24.66454,498.0,1.31,5058.0,0.75,0.74,-0.08288
Kepler-257 d,5.67,189.74451,24.66459711,568.0,1.31,5188.0,0.973,0.868,-0.08288
Kepler-257 d,4.69,189.74451,24.66459711,797.0,1.31,5209.0,0.81,0.85,-0.08288
Kepler-257 d,2.3,189.74451,24.6643939784,797.0,1.31,4972.0,0.87259,0.82,-0.37756
Kepler-257 d,2.3,189.74451,24.66461416,797.0,1.31,4972.0,0.87259,0.82,-0.37756
K2-280 b,8.01,189.74451,19.89531,797.0,1.31,5613.0,1.367,0.959,-0.08288
K2-280 b,7.67,189.74451,19.895202,744.0,1.31,5742.0,1.28,1.11,-0.08288
K2-280 b,5.55493874,189.74451,19.894641,797.0,1.31,5767.0,1.06414,0.959,-0.08288
K2-280 b,7.46,49.0,19.895,736.0,0.64,5741.0,1.279,1.17,-0.08288
K2-280 b,8.5,189.74451,19.895268,797.0,1.31,5613.0,1.45,0.959,-0.08288
K2-280 b,7.5,37.1,19.89526,787.0,0.48,5500.0,1.28,1.03,-0.08288
K2-381 c,2.3,189.74451,16.0382,797.0,1.31,4710.0,0.62,0.959,-0.08288
K2-381 c,2.05816745,189.74451,16.035054,797.0,1.31,4661.0,0.645652,0.959,-0.08288
K2-381 c,2.0,189.74451,16.038474,797.0,1.31,5613.0,0.7,0.959,-0.08288
K2-381 c,2.05,189.74451,16.0343,797.0,1.31,5613.0,0.616,0.959,-0.08288
K2-381 c,2.0,189.74451,16.034656,797.0,1.31,4473.0,0.675,0.754,-0.08288
Kepler-222 c,2.3,189.74451,10.0887989503,797.0,1.31,5154.0,0.850048,0.87,-0.33784
Kepler-222 c,4.64,189.74451,10.08881,797.0,1.31,5433.0,0.869,0.959,-0.08288
Kepler-222 c,2.3,189.74451,10.08880336,797.0,1.31,5154.0,0.850048,0.87,-0.33784
Kepler-222 c,4.81,189.74451,10.088796973,734.0,1.31,5431.0,0.843,0.945,-0.08288
Kepler-222 c,4.75,189.74451,10.088796973,797.0,1.31,5295.0,0.84,0.88,-0.08288
